#1
double Tamb(6052,2) # Time in h and Tamb in degC
17.12,21.3553
17.122,21.3065
17.124,21.3553
17.125,21.3065
17.127,21.3187
17.128,21.2699
17.129,21.3187
17.13,21.3065
17.135,21.3553
17.137,21.3065
17.139,21.3187
17.14,21.3065
17.141,21.3187
17.144,21.3431
17.145,21.3065
17.146,21.3187
17.148,21.3065
17.149,21.3187
17.15,21.3065
17.151,21.3187
17.152,21.3431
17.153,21.3065
17.154,21.3187
17.155,21.2943
17.156,21.3187
17.157,21.3553
17.158,21.3065
17.159,21.2699
17.16,21.3187
17.163,21.3065
17.164,21.3187
17.165,21.3065
17.166,21.3187
17.167,21.3553
17.168,21.2943
17.17,21.3187
17.171,21.3553
17.174,21.3065
17.176,21.3553
17.177,21.3065
17.178,21.3553
17.18,21.3065
17.182,21.3187
17.184,21.3065
17.185,21.3187
17.186,21.3553
17.187,21.2577
17.188,21.3187
17.19,21.3553
17.191,21.3431
17.192,21.2577
17.193,21.3187
17.194,21.3065
17.195,21.2577
17.196,21.3065
17.197,21.3553
17.198,21.3065
17.199,21.2577
17.201,21.3553
17.202,21.4164
17.203,21.3065
17.204,21.3187
17.206,21.3065
17.207,21.3431
17.208,21.3553
17.209,21.3065
17.21,21.3187
17.212,21.3065
17.213,21.2577
17.214,21.3187
17.215,21.3065
17.216,21.3553
17.217,21.3065
17.218,21.3309
17.219,21.3065
17.22,21.2699
17.221,21.3065
17.224,21.3187
17.225,21.3553
17.226,21.3065
17.228,21.2577
17.229,21.3065
17.23,21.3187
17.232,21.2577
17.233,21.3187
17.234,21.3065
17.237,21.3553
17.238,21.3187
17.239,21.3065
17.24,21.3553
17.241,21.3187
17.242,21.3065
